Date,Site,#,CW,Color,boat,boat+wet,boat+dry,bag,bag+pre,bag+post,crucible,cruc+pre,cruc+post
5/16/22,Bristol,65,15.7,3,1101.580,1246.090,1172.040,197.981,267.156,266.944,2526.138,2597.012,2532.351
5/16/22,Bristol,66,14.0,4,1098.331,1193.393,1150.311,196.699,247.141,245.703,2794.298,2845.941,2798.447
5/16/22,Bristol,67,16.0,4,1114.460,1282.761,1203.439,195.024,282.679,281.342,2971.274,3060.214,2982.700
5/16/22,Bristol,68,14.0,4,1064.380,1179.982,1123.258,193.514,250.686,249.760,2999.426,3058.047,3003.600
5/16/22,Bristol,69,14.0,4,1081.361,1165.257,1123.769,194.797,235.554,234.475,2764.481,2806.745,2767.024
5/16/22,Bristol,70,18.5,4,1080.928,1457.985,1245.702,195.635,358.843,358.408,2751.901,2916.695,2770.484
5/16/22,Bristol,71,14.1,2,1062.868,1192.430,1125.545,197.497,258.541,257.801,2565.794,2628.215,2568.862
5/16/22,Bristol,72,13.9,4,1122.731,1236.746,1181.035,196.997,253.334,252.274,2586.334,2644.081,2592.623
5/16/22,Bristol,73,18.1,4,1139.440,1447.636,1290.340,195.509,345.240,344.527,2888.390,3038.700,2904.349
5/16/22,Bristol,74,14.9,3,1020.447,1114.418,1076.140,196.778,250.795,249.866,2910.037,2965.466,2914.147
5/16/22,Bristol,75,17.0,2,1080.352,1334.647,1198.713,196.706,312.939,312.390,2716.871,2834.576,2728.556
5/16/22,Bristol,76,14.0,3,1060.083,1206.299,1114.743,196.422,249.049,248.038,2954.258,3007.736,2958.007
5/16/22,Bristol,77,12.1,4,1117.836,1178.480,1148.487,195.704,224.163,223.238,2832.970,2863.432,2834.914
5/16/22,Bristol,78,12.3,3,1065.506,1140.803,1097.387,196.301,226.459,225.301,2468.176,2499.529,2469.538
5/16/22,Bristol,79,14.3,4,1074.892,1227.778,1137.919,195.329,257.205,256.599,2873.680,2937.248,2877.765
5/16/22,Bristol,80,21.5,4,1093.548,1489.543,1268.903,196.148,369.974,369.228,2526.209,2700.608,2542.725
5/16/22,Bristol,81,16.8,4,1092.244,1290.209,1185.150,196.549,287.649,287.289,2793.657,2886.277,2803.222
5/16/22,Bristol,82,14.8,4,1092.392,1270.654,1162.716,196.359,264.115,262.751,2970.391,3038.263,2974.810
